metric,mean,std,min,max
Ra,3.438246,0.464931,3.065650,3.994029
Rq,6.333902,0.827515,5.563012,7.488309
Rz_ISO,15.766880,2.291418,13.720800,18.836800
RSm,63.891784,42.662015,18.060835,130.368735
Rpk,4.626319,0.939721,3.928249,6.200603
Rk,0.260734,0.136114,0.129523,0.474792
Rvk,5.384258,1.184073,4.530910,7.447569
Mr1,35.229205,4.194382,30.010873,40.155464
Mr2,69.179705,3.849906,63.958423,74.626850
