metric,mean,std,min,max
Ra,4.108925,0.661444,3.217386,4.979928
Rq,7.567110,0.906791,6.752470,8.818341
Rz_ISO,19.083360,2.354651,17.198400,23.024800
RSm,122.793900,52.682349,59.646467,204.695139
Rpk,4.983409,0.839309,3.934130,6.056371
Rk,0.551660,0.269249,0.279494,0.901091
Rvk,6.110374,1.444001,4.525555,7.539345
Mr1,35.297028,4.812737,29.206076,40.122748
Mr2,68.285170,3.798789,62.554623,72.614423
