metric,mean,std,min,max
Ra,5.141565,1.476631,3.263287,6.824892
Rq,8.916345,1.827295,6.662503,10.593697
Rz_ISO,22.700000,4.894257,16.568000,29.322400
RSm,211.898785,127.085026,60.324291,337.741574
Rpk,6.395428,2.369771,4.006297,9.859726
Rk,1.412641,0.595863,0.569340,1.972403
Rvk,5.702471,2.700886,2.998353,9.519217
Mr1,29.813450,7.151920,22.728758,41.140687
Mr2,61.147294,6.853914,54.911561,72.819584
