Parámetro,Valor
Ra (Promedio Aritmético),1.262 µm
Rq (RMS),1.978 µm
Rp (Pico Máximo),6.244 µm
Rv (Valle Máximo),-7.464 µm
Rz/Rt (Altura Total),13.708 µm
Rz (ISO 4287:1997),5.423 µm
Rsk (Asimetría),-0.289
Rku (Curtosis),5.373
RSm (Anchura Media de Elementos),160.900 µm
Rpk (Altura de picos que se desgastan),1.565 µm
Rk (Profundidad del núcleo funcional),0.399 µm
Rvk (Profundidad de valles para lubricante),1.163 µm
Mr1 (%),28.31
Mr2 (%),59.37
