Parámetro,Valor
Ra (Promedio Aritmético),3.858 µm
Rq (RMS),6.752 µm
Rp (Pico Máximo),22.764 µm
Rv (Valle Máximo),-16.424 µm
Rz/Rt (Altura Total),39.188 µm
Rz (ISO 4287:1997),17.198 µm
Rsk (Asimetría),0.054
Rku (Curtosis),5.000
RSm (Anchura Media de Elementos),121.127 µm
Rpk (Altura de picos que se desgastan),4.958 µm
Rk (Profundidad del núcleo funcional),0.901 µm
Rvk (Profundidad de valles para lubricante),4.526 µm
Mr1 (%),29.21
Mr2 (%),62.55
